Gene	AU565_BREAST	BT20_BREAST	BT474_BREAST	BT483_BREAST	BT549_BREAST	CAL120_BREAST	CAL148_BREAST	CAL51_BREAST	CAL851_BREAST	CAMA1_BREAST	DU4475_BREAST	EFM192A_BREAST	EFM19_BREAST	HCC1143_BREAST	HCC1187_BREAST	HCC1395_BREAST	HCC1419_BREAST	HCC1428_BREAST	HCC1500_BREAST	HCC1569_BREAST	HCC1599_BREAST	HCC1806_BREAST	HCC1937_BREAST	HCC1954_BREAST	HCC202_BREAST	HCC2157_BREAST	HCC2218_BREAST	HCC38_BREAST	HCC70_BREAST	HDQP1_BREAST	HMC18_BREAST	HMEL_BREAST	HS578T_BREAST	JIMT1_BREAST	KPL1_BREAST	MCF7_BREAST	MDAMB134VI_BREAST	MDAMB157_BREAST	MDAMB175VII_BREAST	MDAMB231_BREAST	MDAMB361_BREAST	MDAMB415_BREAST	MDAMB436_BREAST	MDAMB453_BREAST	MDAMB468_BREAST	SKBR3_BREAST	T47D_BREAST	UACC812_BREAST	UACC893_BREAST	ZR751_BREAST	ZR7530_BREAST
AKT3	0.12	15.83	0.19	0.25	16.83	55.91	0.06	0.82	5.53	0.02	46.76	0.08	0.4	25.02	0.09	6.85	0.03	0.06	0.16	34.26	29.03	1.82	11.32	0.3	0.04	2.53	0.03	0.39	0.06	11.11	19.03	6.15	49.15	28.23	0.15	0.05	0.08	29.92	1.39	13.45	7.31	0.09	18.43	0.03	10.85	0.06	0.05	10.54	0.08	9.9	0.07
MAML2	2.83	9.61	0.21	0.77	6.93	10.19	0.03	7.31	5.71	0.02	23.46	0.78	0.21	3.34	9.81	4.23	0.02	0.82	0.63	14.43	4.1	4.47	9.18	15.61	0.49	7.02	0.07	10.0	8.84	9.32	0.2	3.08	12.8	2.99	0.57	0.11	0.02	6.4	3.25	11.12	1.12	0.03	3.76	0.04	12.44	0.97	1.0	0.63	1.63	0.47	0.71
CPEB3	1.32	0.22	0.7	1.17	0.61	0.18	0.94	0.59	0.32	0.95	0.89	0.99	0.73	1.12	0.29	0.17	2.12	1.25	0.93	0.27	0.7	0.61	0.49	0.79	1.48	0.66	0.88	0.78	1.4	0.77	0.38	0.46	0.34	0.35	1.06	0.88	2.5	0.2	0.74	0.34	0.72	0.61	0.53	1.05	0.66	0.8	1.87	1.11	1.3	1.77	2.16
MAP3K1	9.57	7.51	6.94	40.81	1.79	4.04	14.37	43.05	6.99	13.81	14.66	6.23	10.76	12.29	13.1	3.77	8.81	15.93	17.8	5.13	10.82	2.39	5.32	16.76	7.66	7.51	4.15	14.62	12.29	4.0	0.81	4.04	5.49	5.65	21.69	6.84	21.15	4.63	6.63	6.65	6.63	9.6	4.11	12.14	7.74	5.46	22.49	6.77	9.56	13.11	12.56
GOPC	13.52	31.07	11.83	8.14	45.03	15.22	12.17	23.82	16.31	9.84	18.67	10.49	18.14	31.85	18.75	63.24	16.37	7.41	10.34	16.19	13.77	8.94	22.4	32.99	5.08	12.59	8.33	37.71	16.01	22.92	13.63	43.12	27.41	10.72	10.15	13.98	17.38	21.8	10.55	11.44	14.65	11.05	21.98	12.93	32.2	9.99	9.68	12.59	21.69	6.26	11.23
RBM15	10.95	15.44	6.57	9.61	8.69	5.62	8.56	10.24	4.73	17.68	11.0	9.96	9.62	13.72	10.28	10.89	6.74	9.63	4.02	13.16	11.26	5.62	15.38	13.6	5.71	11.16	3.75	9.04	11.98	5.25	8.42	7.9	7.52	3.46	7.5	5.01	7.37	8.43	3.12	8.03	6.91	5.32	7.49	9.24	16.94	7.89	5.77	1.7	3.55	13.28	4.68
VTI1A	8.08	6.93	5.22	12.09	8.09	8.87	12.11	9.73	5.05	13.59	8.83	9.09	7.34	19.1	11.75	8.41	14.42	15.39	8.74	9.87	8.24	6.0	8.15	15.17	9.71	7.68	6.65	15.4	13.03	10.27	10.33	12.15	9.94	9.31	10.12	13.36	13.04	9.15	14.12	9.59	17.6	15.69	14.56	12.76	10.47	6.7	9.74	7.67	7.25	20.31	9.75
DDX6	38.29	56.57	33.28	37.58	36.83	38.21	41.37	53.13	16.75	21.51	42.34	16.69	26.96	15.97	65.52	25.12	23.64	32.63	18.56	54.17	29.51	41.16	40.94	39.98	20.52	45.5	30.11	44.17	37.77	19.87	22.28	24.91	26.69	27.96	51.46	47.97	15.76	33.58	20.56	35.27	26.07	9.39	21.34	28.65	33.68	23.34	35.98	9.14	26.48	36.27	16.43
PPM1D	3.24	4.25	27.83	7.41	4.82	3.68	7.77	9.99	4.63	8.13	9.77	19.75	14.57	5.0	9.17	3.75	7.92	12.68	12.31	5.13	6.82	2.57	8.63	6.27	7.2	7.74	33.52	17.38	6.18	5.09	5.28	6.66	3.22	4.43	78.87	96.41	4.83	10.34	4.18	5.73	20.76	3.21	3.64	8.83	6.11	2.22	8.13	5.41	5.24	6.75	71.06
CCR4	0.09	0.02	0.03	0.0	0.03	0.01	0.0	0.12	0.01	0.02	0.03	0.07	0.0	0.0	0.02	0.07	0.04	0.03	0.02	0.01	0.0	0.02	0.07	0.01	0.06	0.0	0.01	0.09	0.0	0.03	0.01	0.06	0.02	0.02	0.03	0.02	0.01	0.01	0.01	0.02	0.04	0.01	0.05	0.04	0.11	0.11	0.02	0.07	0.0	0.03	0.01
