	PUBCHEM_ID
1	176870
3	5384616
5	5329102
6	10461815
9	462382
11	36314
29	11676786
30	216239
32	5494449
34	5291
35	16038120
37	11626560
38	10302451
41	76044
45	16760646
51	3062316
52	5311510
53	644215
54	24825971
55	9549184
56	11844351
59	49821040
60	11364421
62	10390396
63	20635522
64	16663089
71	4993
83	49836027
86	10172943
87	9826308
88	4261
89	7251185
91	11626927
94	9907093
104	387447
106	46844147
110	160355
111	5717801
119	208908
127	16095342
133	31703
134	36462
135	60750
136	5746
140	5311497
147	5459322
150	2375
151	4263900
152	44551660
154	9956119
155	24826799
156	44137675
157	25222038
158	11713159
159	53302361
163	46907787
165	560326
166	3005532
167	10027278
170	5208
171	10196499
172	3218
173	3463933
175	6753378
176	521106
177	25022668
178	10200390
179	3385
180	446378
182	11404337
184	24785538
185	11640390
186	82146
192	54676905
193	11617559
194	10096043
196	8249
197	5280757
199	10113978
200	6445533
201	448013
202	25124816
203	9813758
204	159324
205	46883536
206	25126798
207	10109823
208	6450816
219	11338033
221	9952773
222	11754511
223	11647372
224	5289247
226	46885626
228	10196499
229	176167
230	11373846
238	11625818
245	46224516
249	25102847
254	24889392
255	9874913
258	704473
260	53340664
262	11634725
263	11493598
265	53394750
266	9910224
268	11178236
269	42640
271	24894414
272	6918848
273	24756910
274	6918638
275	46943432
276	24951314
277	11485656
279	46931012
281	49806720
282	6445562
283	25167777
287	56965967
288	3796
290	10451420
291	44143370
292	10074640
293	11282283
294	25195352
295	16747388
298	9868037
299	44224160
300	25257557
301	46191454
302	9884685
303	6852167
304	9967941
305	9903786
306	16722836
308	42642645
309	9810884
310	9956222
312	9911830
326	16725726
328	24772860
333	447912
341	5113032
345	66577006
1001	65110
1004	6710780
1005	84691
1006	6253
1007	148124
1008	126941
1009	444795
1010	123631
1011	24978538
1012	5311
1013	644241
1014	44182295
1015	6918454
1016	6918289
1017	23725625
1018	11960529
1019	5328940
1020	216326
1021	6450551
1022	11152667
1023	9943465
1024	126565
1025	176158
1026	6505803
1028	10341154
1029	11667893
1030	5278396
1031	300471
1032	10184653
1033	24776445
1036	24180719
1037	10077147
1038	11327430
1039	10459196
1042	156422
1043	11624601
1046	10384072
1047	11433190
1049	1401
1050	9914412
1052	44450571
1053	46930998
1054	5330286
1057	11977753
1058	17755052
1059	25262965
1060	9826528
1061	11316960
1062	10127622
1066	44137675
1067	2314623
1069	9938202
1072	46883536
1091	10390396
1114	85668777
1129	51371303
1133	11609586
1149	11455910
1164	46843772
1170	5327091
1175	9931953
1192	16095342
1194	9858940
1199	2733526
1218	46907787
1219	71271629
1230	54685215
1236	46224516
1239	44632017
1241	9956119
1242	9863776
1243	637858
1248	6914657
1259	44819241
1262	57339144
1264	56962337
1268	2726824
1371	24180719
1372	11707110
1373	44462760
1375	5394
1377	10184653
1378	5460769
1494	104842
1495	23725625
1498	10127622
1502	2375
1526	44182295
1527	17755052
1529	16720766
1530	78243717
