	TSNE_1	TSNE_2
0	6.6979012	-0.9759708
1	0.01492626	-9.228451
2	1.5263819	0.73077637
3	1.4831415	1.1772717
4	-5.8408723	-1.4673688
5	-0.67097366	-1.0874578
6	-2.2265694	-3.6466439
7	1.474837	-1.4417244
8	-0.26366886	-4.087904
9	8.021861	9.2123785
10	-0.90437585	-2.9829595
11	-0.9484225	-2.700858
12	-2.4837015	-1.2544109
13	1.2236235	-0.6001819
14	-6.5509243	-3.0612917
15	-2.6974142	3.4608395
16	-0.31028262	-1.7320004
17	-4.982558	-3.102198
18	-2.905742	-0.87655246
19	-1.4001317	3.118534
20	0.14916958	-2.493076
21	5.2477098	-5.5182033
22	-1.7703075	2.618959
23	8.405813	2.9701157
24	8.611791	-1.2418277
25	-3.5002196	-3.2610562
26	-5.259389	1.839478
27	2.8192186	-0.3779873
28	-4.806809	-5.367867
29	-9.942549	-4.948071
30	3.4917805	-2.3623383
31	-8.772746	-4.5791698
32	0.56928915	-5.9826355
33	-0.13956256	-7.076466
34	10.253192	7.6797204
35	1.7662227	-0.06475845
36	9.2923	6.140435
37	-5.7550907	2.646492
38	5.1507063	-5.1926804
39	-2.437004	-8.488437
40	-8.869162	6.068234
41	0.11764544	-3.9748697
42	-4.8661475	1.7970752
43	-4.3101177	-4.366842
44	5.958756	8.169834
45	-4.7014933	-10.798708
46	3.781562	-1.0900187
47	-3.9959424	-3.656105
48	3.1978898	3.6069994
49	-6.6157236	-7.594444
50	-0.14429024	-2.4880118
51	4.288526	-2.0511186
52	-8.2067	-6.6836085
53	-5.2494435	-7.520774
54	-10.310521	-9.039066
55	-3.4761953	-7.3630395
56	6.4835763	9.483565
57	6.498934	9.863999
58	3.2904341	1.3654773
59	0.3184242	-6.596239
60	-8.117496	6.0725427
61	-5.9247	7.6889195
62	0.15858506	1.2206081
63	7.1422286	6.823965
64	-5.9695215	-6.445768
65	3.1647894	-6.2052197
66	-2.9393208	3.2671063
67	6.0291395	7.6662154
68	5.4476104	10.180296
69	3.07516	-6.1086516
70	-6.716734	-5.2837076
71	-0.097466774	0.50740415
72	0.9209968	-6.39878
73	3.1325421	2.314103
74	0.7758595	-4.609313
75	-2.222315	8.562408
76	-7.647994	-6.6514087
77	-3.5326056	-7.698957
78	-6.9805574	-7.035912
79	7.434669	-3.826994
80	0.29829153	-11.55548
81	1.635334	1.9910532
82	2.7508717	3.82653
83	-0.32221487	-4.3639064
84	-1.1955738	-2.1177387
85	-8.611585	5.216812
86	-0.1681206	-5.121306
87	4.026951	-6.5479374
88	-1.8425183	-4.217448
89	5.4611807	-8.63303
90	-0.54233027	-6.30714
91	-5.4596815	-6.24807
92	-4.523657	-1.756726
93	-8.405404	-2.5357594
94	6.1717396	-0.4465211
95	-6.004479	-6.0603685
96	0.7473307	0.2956696
97	2.563035	-7.6595464
98	9.681012	0.96175146
99	2.252302	-4.056435
100	6.482673	8.961233
101	-1.746855	-10.369632
102	-0.4642004	-7.2803082
103	-1.5856707	-8.398119
104	-1.0812169	-7.9148927
105	-2.775692	-7.929954
106	9.598284	4.47245
107	10.445669	8.291131
108	0.21894656	-7.8135586
109	5.5038996	2.7558696
110	-4.445894	-9.986294
111	2.7051725	-9.650217
112	-1.5991076	5.297379
113	-7.276864	-6.7442365
114	-0.15657592	8.934226
115	-2.7891438	4.174226
116	-6.773831	-4.346359
117	-3.6467578	4.8713546
118	-3.4883914	2.7459786
119	-3.777924	5.20877
120	-1.9702648	2.4576516
121	1.2631466	1.7306949
122	-0.23295362	10.197245
123	0.49996167	9.084492
124	0.8175318	7.6598244
125	-0.7565074	9.816177
126	-0.746768	9.840413
127	-1.6716136	10.383461
