label	TSNE_1	TSNE_2
STOMACH 	70.079216	-26.620794
CENTRAL_NERVOUS_SYSTEM	-42.617878	-16.157833
OVARY	-6.4038963	-11.977051
HALT	-57.50669	96.95194
KIDNEY 	-3.1321225	20.356354
KIDNEY 	-7.6109767	19.161926
CENTRAL_NERVOUS_SYSTEM	-20.203953	-24.341816
SKIN	-38.813416	-67.83487
CENTRAL_NERVOUS_SYSTEM	-13.4527025	-12.600538
CENTRAL_NERVOUS_SYSTEM	-32.325867	-17.155792
SKIN	-34.24967	-71.44248
OVARY	-5.6479635	-29.66179
SKIN	-35.535954	-70.67701
HALT	-26.154129	54.860786
LUNG	2.7564607	2.2026966
KIDNEY 	0.10242332	23.7633
HALT	-27.844442	55.605236
LUNG	45.10631	41.02223
KIDNEY 	5.6731553	22.930077
LUNG	28.28256	-9.770271
KIDNEY 	-9.675504	16.975552
STOMACH 	48.71816	-34.277233
HALT	-27.636715	94.27223
CENTRAL_NERVOUS_SYSTEM	-12.958169	-12.909253
HALT	-2.785572	102.71213
HALT	-30.920269	51.435074
PANCREAS	72.61026	-28.35954
BREAST	52.68612	11.027355
HALT	-27.590878	56.99501
HALT	-46.242893	68.99191
LUNG	27.998165	-50.04632
KIDNEY 	-14.850831	-2.5407438
UPPER_AERODIGESTIVE_TRACT	18.753038	27.346283
UPPER_AERODIGESTIVE_TRACT	15.483449	22.666512
UPPER_AERODIGESTIVE_TRACT	18.25678	-10.8304
UPPER_AERODIGESTIVE_TRACT	14.391152	21.267113
UPPER_AERODIGESTIVE_TRACT	27.42557	27.078932
UPPER_AERODIGESTIVE_TRACT	22.879944	14.187816
UPPER_AERODIGESTIVE_TRACT	14.15635	20.231272
HALT	-52.64409	85.84117
HALT	-52.908463	85.04315
BREAST	31.312132	-13.669644
BREAST	59.07878	9.867827
BREAST	65.36505	10.498906
BREAST	-11.6396675	-18.9237
HALT	-47.841774	98.27981
PANCREAS	20.198437	-6.375237
LARGE_INTESTINE	63.529976	-27.827309
SKIN	-43.340183	-73.465485
HALT	-43.011795	66.76136
HALT	-50.239647	83.389725
LARGE_INTESTINE	64.78491	-27.918621
KIDNEY 	2.4621072	19.350494
KIDNEY 	-9.732949	13.243057
BREAST	-0.48565355	-3.6905305
LUNG	21.821138	-15.072814
BREAST	60.330425	11.82522
UPPER_AERODIGESTIVE_TRACT	23.629301	24.734968
UPPER_AERODIGESTIVE_TRACT	30.146927	23.344677
BREAST	-8.3022785	8.848697
KIDNEY 	-10.144957	14.024462
BREAST	24.580803	5.1291947
LUNG	-3.3381333	-19.134209
LUNG	38.078312	12.244846
LUNG	52.87355	-27.953728
BREAST	62.978783	15.15962
OVARY	34.79459	-9.19237
OVARY	11.404809	8.589173
PANCREAS	30.72928	7.4644938
PANCREAS	32.94292	1.3143977
CENTRAL_NERVOUS_SYSTEM	-28.767778	-24.689455
CENTRAL_NERVOUS_SYSTEM	-29.207048	-20.498438
LARGE_INTESTINE	56.399906	-39.580112
PANCREAS	32.62668	5.0499964
CENTRAL_NERVOUS_SYSTEM	-9.2205105	-16.429035
LUNG	25.365934	-10.553651
HALT	-50.74908	77.59101
SKIN	21.04915	33.491116
LARGE_INTESTINE	60.299984	-38.248814
LARGE_INTESTINE	64.361565	-37.14415
LARGE_INTESTINE	64.034996	-41.652836
LARGE_INTESTINE	70.580696	-36.202988
HALT	1.6686835	84.87377
HALT	-29.717049	90.22352
LARGE_INTESTINE	73.18326	-33.54601
LARGE_INTESTINE	57.26927	-42.46398
LUNG	25.61399	-53.647594
LARGE_INTESTINE	60.497467	-36.120052
SKIN	-33.670033	-77.907585
SKIN	-32.69557	-85.04121
SKIN	-43.934456	-70.43205
SKIN	-31.9091	-86.76835
SKIN	-40.799763	-70.34067
SKIN	-38.928116	-76.01572
LUNG	18.278244	14.336762
LUNG	30.485437	-3.3134384
LUNG	18.454287	-62.861084
LUNG	14.209556	-59.806507
LUNG	38.45455	-18.357979
LUNG	18.361494	-60.823097
LUNG	23.677116	-60.32496
LUNG	20.838121	-58.333385
OVARY	13.891404	7.513939
OVARY	16.383348	3.6821942
OVARY	-8.265298	-40.134857
OVARY	18.511768	6.3719287
LARGE_INTESTINE	71.975815	-47.804688
CENTRAL_NERVOUS_SYSTEM	3.0868535	-29.07134
CENTRAL_NERVOUS_SYSTEM	2.4859912	-28.048319
PANCREAS	20.701963	-7.456614
CENTRAL_NERVOUS_SYSTEM	-18.218431	-30.77496
HALT	-51.442463	82.13165
CENTRAL_NERVOUS_SYSTEM	-6.8742013	1.0988443
HALT	-55.585777	83.77223
HALT	-16.294634	-1.6777219
UPPER_AERODIGESTIVE_TRACT	26.282223	8.18833
CENTRAL_NERVOUS_SYSTEM	-68.97698	-14.203168
FIBROBLAST 	-53.069027	-18.370384
LUNG	-15.23985	-36.61613
LUNG	24.939505	-61.16058
LUNG	5.0219026	-27.108686
LUNG	27.206139	-51.855507
LUNG	28.702702	-51.832916
LUNG	20.7043	-69.828926
HALT	-33.853836	93.78999
HALT	-55.677395	81.71934
BREAST	49.797226	-42.10519
LUNG	58.771183	-26.909468
HALT	-52.204197	74.87146
LUNG	11.955369	-28.956194
STOMACH 	63.207336	-49.48231
STOMACH 	55.20385	-51.593304
BREAST	54.798565	11.056206
BREAST	64.52357	8.50927
OVARY	-12.066309	18.165228
OVARY	10.250515	-9.933321
HALT	-49.77748	67.75801
HALT	-28.37081	48.55435
LUNG	45.896152	42.440884
HALT	-2.2898672	100.51541
HALT	-0.3987554	100.98201
