	TSNE_1	TSNE_2
0	66.63617	-36.27869
1	68.92164	-14.684357
2	-23.748913	44.54155
3	-24.38243	44.119976
4	4.635573	99.38868
5	-8.573424	26.448063
6	-2.5772781	-28.702587
7	31.367592	12.230343
8	31.066921	-45.83634
9	-102.17497	58.923508
10	6.0744057	-5.9001966
11	7.819842	-2.4230745
12	37.596775	-4.939092
13	1.5605286	36.208675
14	-26.92339	-65.70434
15	8.002889	-96.065
16	-5.1899934	25.151451
17	-15.714876	-65.64145
18	71.26562	52.714874
19	10.191297	-82.09756
20	12.676739	18.166264
21	80.06696	45.83021
22	4.456916	-90.98015
23	-49.86396	115.31064
24	52.784756	42.061043
25	2.67283	-44.393494
26	-76.37971	-6.096046
27	42.98227	51.740395
28	75.410164	-85.48426
29	-48.45734	12.054125
30	48.384808	36.26827
31	-49.733654	10.838301
32	10.87243	-26.746986
33	41.8419	-52.14958
34	-137.85608	7.0723863
35	7.2101583	38.716682
36	-115.75532	-23.828133
37	-73.04668	-4.341864
38	78.06969	54.873768
39	48.281208	-48.15049
40	39.318886	78.922356
41	25.434992	7.611781
42	-75.626816	-8.12449
43	0.24270661	-32.95992
44	-88.67404	39.835545
45	58.732853	-63.641045
46	30.505272	53.655357
47	-1.4014319	-30.021112
48	-25.571722	43.200108
49	-64.68508	-49.3272
50	12.114456	18.03808
51	42.81601	30.313868
52	-58.906654	-57.027657
53	-65.96056	-45.026917
54	-25.439432	16.121267
55	-38.009468	-16.24
56	-89.02445	55.607296
57	-86.94259	57.73916
58	-0.118487604	39.069687
59	26.68666	-28.124725
60	39.915085	75.67581
61	54.95982	72.38881
62	-8.559636	41.09422
63	-101.1899	-19.641157
64	-52.13721	-42.109314
65	52.145943	-5.5633183
66	8.198803	-92.19814
67	-83.362236	40.42274
68	-93.77865	42.80872
69	52.434868	-5.2088313
70	-51.69461	-27.04626
71	-9.024447	36.07546
72	9.671254	-28.475098
73	27.330261	55.815544
74	-6.432987	3.290044
75	85.07425	-61.75368
76	-62.42243	-52.14506
77	-35.14619	-15.206244
78	-62.454163	-49.608643
79	60.03956	8.557487
80	75.60732	12.146434
81	2.4029174	61.58469
82	-36.89753	35.523567
83	30.314873	-46.776993
84	13.983397	9.179098
85	36.974636	75.21658
86	18.78991	-27.023705
87	57.932438	45.07994
88	17.072866	-14.4046135
89	60.705822	30.380747
90	-0.8486571	-11.320418
91	-48.94158	-40.13176
92	-26.833675	-36.50251
93	-25.871162	95.45474
94	64.631744	-36.168167
95	-52.78581	-35.16396
96	-9.531332	44.5639
97	20.707018	-0.72748494
98	117.43426	15.426848
99	38.665474	27.770847
100	-89.73274	54.429718
101	-6.956867	-27.332258
102	42.2125	-54.780582
103	42.73228	-50.09818
104	47.253876	-40.673634
105	49.334206	-45.72711
106	-120.25361	-2.9281185
107	-138.85745	12.323489
108	39.642784	-55.14656
109	105.31258	-13.806437
110	-24.950325	-68.83496
111	59.977627	2.5764828
112	11.340173	-88.23114
113	-63.741734	-53.163254
114	107.994545	-27.854334
115	18.03777	-105.078514
116	-43.923138	-62.984592
117	12.144942	-98.499115
118	16.719	-92.49387
119	9.049959	-99.1899
120	4.37109	-93.18328
121	-19.255508	38.188923
122	120.14621	-40.1533
123	104.61666	-21.258905
124	112.85858	-16.429005
125	117.521904	-38.000633
126	119.90103	-32.156845
127	126.36253	-33.200542
128	19.328148	-31.618273
129	13.8699665	7.1334834
130	88.576096	46.052895
131	27.064287	-40.210144
132	61.405636	-35.95766
133	98.57824	-13.940234
134	99.20656	-14.336154
135	22.220541	7.5006886
136	-25.090591	-32.349125
137	-74.03065	58.056927
