	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	256	label
1	0.88661134	0.7122581	0.21174562	3.071043	2.3553348	2.7981012	0	1.9913507	0.20609677	0	2.0822704	0	1.5602894	0	4.0775495	1.2825317	0.15911913	0	0	0	2.6542451	0	6.4061184	2.6265216	0	0	0	1.0266395	3.6545856	0	0	1.536859	1.3621209	0	0	2.263304	0	1.8118738	1.3895793	5.774862	7.201797	13.982837	5.966951	0.8228849	0.476269	0	0.42893228	0	0.42547572	0	4.2547812	0.12542534	0	0	0	3.66474	0	0	0	2.422238	3.3954766	0.6707008	0	4.5841055	0	1.0388125	1.7680088	0	2.9916413	12.043841	5.426838	2.6488237	0	0	2.1259685	0	0	0.4825138	9.342709	3.4047732	0.97243774	9.8123045	0	3.7491627	0.1668036	0	3.7747316	0	1.4348366	3.8276634	3.0373535	0	2.9102225	8.8102255	0.53881645	0.6409384	12.293301	3.2069674	3.349122	3.0310597	0	2.6872087	0	0	0	1.1429541	4.1114473	3.5102024	2.0270586	0.3347087	0.31331444	0	2.1986017	2.1643248	2.0935414	0	11.173791	2.009505	4.4630146	9.840355	2.3725207	0.7887807	8.384507	0	0	0	0.72640634	0	0	4.080891	0	1.265347	0	4.187774	4.4593267	0	3.6763601	0.1724155	12.393662	13.019655	0	0	0	0	9.9911	0	0	0	3.309219	0	0	0	9.345248	0	2.0240204	10.561827	3.682467	0	6.2834454	3.4990904	0	3.927393	2.3030832	0.12106669	0.3034644	0	2.0090933	0	0	0.14470969	0	4.973507	2.4171445	14.748816	0	2.3644543	0	0.18472582	0	2.368725	0	0.7752217	0.80806065	0	0.5692084	0.547494	2.3562698	1.0295079	0	2.4581192	11.037866	0	0.6939463	6.358289	6.224335	1.3734576	3.1138334	7.086768	0	0	2.928974	5.708275	1.1999176	0	0	0	0	3.4334402	0.61459804	0	0	0	0	10.163916	0.9636642	4.7168207	0	1.5587978	0	2.6255858	2.058285	0	0	1.2402043	0	2.580972	8.086426	0	2.1008563	0	1.4723803	7.829601	0	0	0.19932556	2.8397653	0	0	0	1.7715539	0	9.067362	9.85212	0	4.6707416	0	0	0	0.80447626	2.9786484	2.9370723	9.163033	0	0	6.2322016	0	10
2	0.59012854	0.19592452	1.4289505	1.1807368	0	0.78974175	0	0	0	2.1205094	0	7.8864827	1.0548471	2.5770555	1.524713	0.72447824	1.6046195	3.2290144	0	0.12090391	0	1.6840882	2.8670912	0.6958691	1.5743644	5.691674	0.64118654	1.7917495	3.1393213	0.049068213	0.9914353	0.3683777	1.349088	0	0.11775255	0.84267926	1.9698254	1.3227214	8.888872	1.4173845	3.1769109	7.1849213	0	1.1191291	0.5386025	4.2201824	0.913332	1.6997566	0	0.22633839	3.4159312	2.1104298	4.220563	0.45276046	0	3.7271128	0	0.32682404	4.987072	0.19464684	0	0.010359615	4.6139164	0.7968092	5.9372463	0	0	2.8285258	0	1.845387	5.5101542	0.75743014	0.6584909	6.6516943	0.8806031	0.5903244	0	0	1.2051606	7.865053	1.7137822	0	2.196881	1.0055459	0	0	0	0	0.4973684	0.61015797	9.115314	9.792618	1.9380363	4.159591	0	4.125447	1.4011449	2.9648385	0	0.8863808	0.005946636	6.103833	0.7015933	0	5.82243	0.7067349	0	3.9677677	0.6372051	0.5228461	0.7774062	5.0789504	0.8129959	0	0.5553045	0.29940543	2.887466	0	0	0	10.260275	0.5564146	3.9453542	11.438547	2.2500107	2.6962767	4.527746	0.85791993	0.20462346	3.689424	0.33759534	1.4110436	2.482398	0	0	0.8217702	0	0.5955539	10.008301	4.5336223	1.062548	0.18663484	0	3.1307433	12.687386	1.2152467	6.789256	3.0459156	2.37397	0	0.3555653	2.3079443	1.4538488	3.6630714	1.6460586	2.460831	2.0303009	0.27930784	0	2.1497266	7.2573524	4.08204	0.25759363	0	1.113378	0	2.018755	1.5259497	3.7342277	0	0.87077254	5.5440407	0.2611611	11.873623	0.48525846	1.9024112	0.40600085	0.6866438	0	0	6.693231	0.1675837	0	0	0	0.5279352	0.8787255	1.7150352	4.445513	0.8313284	5.04103	2.6280105	0.93628347	2.8649473	6.523786	1.2105026	4.3141	9.856266	0	0.7550335	1.7685287	0	0	2.6614795	0	1.5421159	0	6.9714766	0.5648422	0	0.4334703	3.2134638	9.631583	5.6328816	3.0997934	5.7004213	0	1.0760994	1.5515399	2.7240646	0	0.5761175	1.3141906	0.1605624	0.57652545	0	0	0	0	1.711643	1.5331463	0.5955038	2.2310107	1.0582778	3.1655169	0	0	2.4870114	1.9402493	0.6137246	0.51838565	3.8233604	3.6158595	5.474845	12.364468	0	0	0.77684426	2.431552	8.833492	1.9094697	0.18914771	2.2533247	0.4616949	6.3431215	1.0201298	21
3	0	0	0	1.754255	0	0.4124571	0	0	0	2.6492789	0	8.778944	1.0798674	2.5568604	5.075515	2.3584292	0.787396	0.7644906	0	0	0	0.9910676	1.0350742	2.4160547	1.7538084	4.4004936	0.87757	2.7570639	4.8092914	0	0.52563834	1.8957423	0.102303505	0	1.2023591	1.6396146	1.7675365	2.9007993	8.868127	1.1858718	3.5864081	6.123163	0	1.8633081	1.413619	3.453667	0.85310555	1.0392978	0	0.5992818	5.8472633	2.5222127	1.0551233	0.5125339	0	2.9234772	0	0.29123193	3.6553826	0	0	1.1415262	6.4750834	0.49749303	2.68216	0	0	2.0905728	0	1.2666554	4.67102	0.9192959	0	6.135487	0	0	0	0	2.6115723	2.7278004	1.2882901	0	1.1414294	1.0655328	2.4795098	0	0	0	1.4831302	1.5255871	7.6371694	9.405391	2.6270924	6.473069	0.34166622	3.258706	0	1.7122414	0.16105318	2.22266	0.46483994	3.2518022	2.0409272	0.008151412	4.7720447	1.2774339	0	5.338921	0	1.5218965	0.37099797	7.922189	2.3886733	0.6431804	1.7469943	0.9434868	1.3561605	0	1.7597438	0	7.94853	1.869602	8.706443	9.324175	0.76143336	0.64136076	4.4329176	0.72101283	1.6912992	0.34947228	0	3.4961708	2.6115851	0	0	1.608004	0	0	10.212113	7.4872546	1.1442852	1.2242565	0	3.0300596	9.722677	2.3117108	8.0699215	1.9177263	2.6453261	0	0.24186933	3.73147	0	0.69455194	0	2.4945164	1.9836152	0.21402383	0	1.0016463	4.580987	2.9227057	0.65838015	0	0	0	0.2639947	2.8350058	3.2455053	0.026328258	1.00523	3.4625485	0.80251455	13.556092	1.4744847	1.445422	0	0.6974913	0.3146757	0.6828623	5.855419	1.1766728	0	0	0.34432888	0.50745344	0.80128336	1.40116	7.44549	1.727943	4.856253	1.9361105	2.5894752	2.1624842	1.9195728	2.0922203	3.160576	6.86709	0.8205433	4.8448334	0.26474762	0	0.5044973	2.7413678	0	1.1394649	0	5.9214773	0.5256438	0	0.09545684	2.2049646	10.128331	2.4440606	3.4967897	6.7533913	1.3187135	1.8959455	1.2780361	1.7022555	0	0.8479979	1.3675702	1.559691	0	0	0	0	0.20964815	1.7248237	1.9720968	1.2745085	1.6262133	0	0	0	0	0.8833006	2.0932317	0.9520377	0	4.551111	4.6643777	3.8600268	7.206738	0	0	0.85319555	2.1442528	6.7074356	1.7246364	1.1123881	1.5341446	1.5275816	1.9326863	0.45932838	21
4	3.5023394	0	2.191998	0	3.3396707	0	1.1207436	1.4739912	0.9997451	0	2.1450381	4.4862065	0	14.695998	3.710288	0.39259195	0.9783275	0	0.46894097	0.41464895	2.984453	1.6777017	0	8.724579	2.207121	3.3996186	1.6137309	1.4740686	2.6700246	0	0	7.3031282	0.07554865	0	0.60321164	0.096663624	0	0	1.4865322	10.731049	2.4452002	0.7529118	7.7023096	0	0	2.2310991	1.7191172	0	0.58590174	1.6491876	10.116905	0	3.5363226	0.06371045	3.0943236	2.5215058	0	1.1303291	0	0	4.5599227	0	4.7191496	0.9701419	0	0.76035726	0	0.69729865	1.1838405	8.023848	0	0	0.8332703	9.779795	4.2459316	0	3.1160803	0.75422674	1.3123703	3.6249607	0.1046406	2.00167	0.57128644	0	8.941646	4.6647367	0.35221416	1.3357129	0	16.681082	0	8.489592	0.8310703	0	4.6754966	0.40203786	5.283322	7.4603753	0	0	0.10117805	13.343063	0	2.6070151	2.8192227	0	2.5435581	5.4011717	0.8770242	0	1.1754367	11.276407	0	0	3.4395492	0	17.174084	0.8141521	0	3.049526	0.8057375	0	0	5.0481634	2.206552	8.941805	0.3856758	2.7881691	0.1910572	5.452282	0	4.93682	4.876044	0	5.002845	0	2.9358528	0	7.394294	1.7118559	1.4218822	0	4.4795995	0	0	0.3008392	4.198084	0.8526373	1.3762906	0.6388088	2.8416433	3.9429011	1.4008465	0	3.5207064	1.4837937	0	0.34978294	3.8881826	3.2790077	3.2166088	0	1.1522424	0	0	1.1326178	0.76636076	0	9.818304	3.3704376	0.6089935	0	0	3.2907	2.7149744	0	0	0	0	3.9077132	5.39944	5.0681925	2.3131087	1.1683927	0.85798	0	0	0.02676344	8.27275	0	4.7156324	0	1.5451301	0	2.1787705	0	0	0	0.7825686	8.915357	0	0.8655362	0	0.8585136	0	0	11.352434	3.4302382	0.6550561	5.772239	0.6286373	4.3820944	0	1.3492272	0.9702872	6.454465	0	0	0	2.2722692	5.817228	2.4410226	0	0.30058873	1.0465293	2.2384024	2.9540343	1.5751777	1.4597323	0	0	1.3425188	1.7283638	0.03838539	1.3953354	1.1065859	0	3.4273412	0	4.5392475	0	0	2.9796267	3.3023767	1.8197553	0	2.136245	0.85152924	9.457107	0	0	2.9216058	0	1.3397927	0.2659359	2.9671152	20
5	5.265287	0.49966693	2.085767	0.3336339	0	0	0.7176777	0	0	2.9285986	0	1.9236302	0.06593537	0	0	3.0584586	0.14576864	1.2119362	0.3384149	1.4455485	3.6631155	0.3834439	0.16277766	3.8162937	0	8.517943	1.0717413	0	0	0	0.6622567	0	1.0919788	0	0.1097005	1.5324998	1.5637904	1.8584961	4.132762	1.7089903	3.4943066	0	2.2938395	0.8552505	0	0	0.54726434	1.6227744	0	2.845139	6.3308997	0.65308666	0	0.7955663	0	5.6418266	0.11099255	2.1561499	4.6280227	0.37853515	2.5932896	0.12270191	1.001442	0	9.454654	0.17531085	1.0104672	2.0041254	2.196766	0	2.68799	0.32379192	0.43939352	0.6051712	4.275774	0	0	0.1015414	6.2634954	0	1.991315	0	0	0.7076645	0	0.9137907	0	0	1.7904053	7.084412	3.7334762	9.126501	5.0359855	7.5089097	1.7264848	0.5660448	0	3.9021363	0.15861654	0	0	5.664148	0.17628333	0.3989184	0	0.7886903	0	4.9381847	5.596536	0	0	8.827895	0.34158587	1.0636405	0.6607013	3.7574842	5.5687685	5.2361555	0.92685974	0	2.1279225	0.74174976	3.2022755	4.944432	0.5385289	4.0870905	0	1.3414943	1.487831	0.22781014	1.962016	0	1.0321894	5.589116	0.55530727	1.4203466	0	1.1407712	3.035478	3.4750504	1.0504535	0.5731663	2.1692333	0.022698283	3.2349195	2.4295373	2.6144216	3.0476878	0.7614088	0.4261372	1.5195427	2.4711432	8.979764	2.0582619	3.2864513	12.290346	0.44571018	2.914386	3.1359687	9.475437	4.0421877	5.4493585	0	0	0	0	4.858678	2.466349	6.010007	0	0.5250092	0.014641285	0.493752	10.119814	0	0	0	0.6453792	0.42046428	5.285141	2.4579172	3.7918358	0.21991587	0	0	0.95485926	0.3911783	0.8649624	1.6727386	0	0	1.0010924	2.0793948	0.1045751	0.79310966	3.047002	7.1908503	0	0.7152622	0.9989438	5.7347565	0.46852398	0	0	2.618734	1.7709022	6.2880397	0	0	0.1601901	1.216171	9.425563	11.285916	5.324766	3.6283472	0	2.660039	0.38818365	0	0	1.8302565	1.4208487	2.3720646	0.25492704	0	2.6798487	6.121408	0.11135185	0	1.199605	1.8673526	4.26167	5.442375	1.1270199	3.0537992	3.6857932	0	1.6074647	1.6187733	3.7957315	2.0261965	0	4.3769083	0.117994785	6.040763	0.21840513	0.35467386	0.2137242	3.8174639	1.8093414	0.8399489	12.49887	1.1047355	2.882916	1.8399625	1.4899518	21
6	0	2.3903565	2.0326014	0	0	0.7256429	0	0.41169798	0.2904932	0	1.3196719	2.0208566	0.25722027	4.952008	5.839259	4.7824955	0.39983428	0.5049448	2.4453304	1.8547827	6.806926	1.9502869	0	1.2368332	0	2.8548207	1.2710156	1.389884	1.369072	0	1.6307833	0	1.8528516	0	1.4454355	1.0996301	0.37652922	0	4.3822184	7.304258	8.978083	3.8344195	5.9716787	0	0	0	0.43299606	0	0	2.1219752	3.8186905	0	2.090448	0	0	2.6644468	0	0	4.244454	0.3702773	3.8851776	0.14665255	2.7424908	2.0237734	7.0956182	0.12637818	0	0.8675992	1.9657245	3.094117	2.256405	0	0	1.4708084	7.511425	0	0	0	1.9047151	5.573533	0	6.4019713	0	0.80979896	1.6227719	0.46761346	0.83856267	0.11179614	0.46735245	10.719497	7.671514	7.918578	1.9397349	5.6006346	4.24884	2.7906518	2.6342044	2.797527	1.7549726	2.1991637	0	8.862509	0	1.0589738	0.34312105	0	0	1.4075503	0.47100455	0	0.043890774	6.1446924	0.09164643	0.059453547	2.6471953	0	10.4386215	1.778992	1.2512099	3.6037884	5.57946	0.29737353	1.6486125	0.2754687	1.0991662	6.7910213	0.15211064	0.5304351	0	3.2914147	0	1.2869084	0.69738674	0	0	0	0.757895	0	6.088394	7.5953984	0	0.9649343	8.246083	1.4160585	0.20329627	0	5.446237	0	3.6033597	0	2.592831	0	8.012486	2.14924	2.1971455	6.142766	0	0.6866224	2.871982	0.10373354	0	2.4515672	0.62226677	0	0	0	3.6982207	0	2.5411968	0.16258836	0	2.1872962	0.14767414	10.540004	0	0	0	0.119832456	0	0	0	2.6522863	0	0	0.36678362	0	0.16837317	0	12.265196	0.8403424	6.37683	0	5.3317537	3.107109	0	0	1.0018516	2.4547367	1.9701672	1.9938293	2.1519563	2.1155944	0	0	0	0.26858974	4.717894	7.0667863	0	0.5839007	0	0.33159328	0	6.698325	4.8357906	4.945389	0	0	0.7831564	0.5132909	0.37535262	0	0	0	0	2.9360657	4.2370977	0	0.659776	0.45535806	0.7213751	0	1.8393743	0.35652018	0	4.195834	0	0.9638364	0	4.868284	0.45725894	2.352186	4.064808	11.031862	11.444813	0	0.86551964	0.025498927	1.2491415	7.643181	0	1.8025432	0	0.3120473	0.10968828	3.478775	25
7	2.1316612	0	2.080196	0.20608568	4.296503	0.6925945	2.740932	1.4653966	1.1980712	5.8239994	0	0	1.1714238	9.903045	3.6082773	0	3.455585	2.3600311	0	1.9727117	6.484583	1.0505033	3.1491578	1.0949626	1.6780643	1.7571077	0	0.22224922	1.1945832	0.53801584	0	2.9934058	1.0974245	0.8284166	0	0.24316639	0	0	3.192051	0	4.6070256	2.2111695	0	0.44335476	0	1.3437016	1.6519454	0.09559053	0.49133897	2.7544966	7.2582526	0.2715888	3.8508248	2.4352608	1.9710264	2.9566655	1.6456915	0.83304	0.8812188	0	0	0	10.235576	0.2984584	5.983658	0	0	0	0.3405267	2.9430523	0	0	1.8456614	6.9908857	8.1758	0.3436327	0	2.928556	9.99688	5.7060285	0.63757145	0.3097855	2.0688229	0	0	0	0.9158215	0.59763026	0.6285963	6.4309444	6.1129165	5.348407	2.3222191	1.4141111	3.4411414	0.3564428	1.0680612	4.382068	0	2.033701	0	7.162845	1.5574158	0.13647676	5.2798033	0	0.26826608	0.6752529	1.9834089	1.4085124	0.47481373	0	0	0.4752745	0	2.5883904	6.4789	4.598546	0	2.7161517	5.2706723	0	0	1.9383898	3.9525802	1.9589996	4.5281854	2.488333	0.78650045	7.7760353	1.1200873	2.128245	5.9624634	3.7787998	0.77619386	1.0728701	0	1.2945762	11.438285	4.2092447	3.6572113	0	4.807975	0.9073588	0.63534546	0	1.3134246	1.1913142	0	0.6408798	0.766494	0	2.2984076	6.79691	0	6.440249	0.8462229	1.2007279	0.4841261	3.4184582	7.194798	0.14247447	0.38780177	1.3297939	0.77313566	0	1.6574068	2.2883115	2.0207949	1.3778176	0.4853322	0.3380072	0	0	1.4067417	0.3217771	0.7441814	2.4008925	0	1.6658969	11.164983	0	0.5411043	0	2.2079654	1.1948515	1.6116527	1.0031617	5.6282673	0	6.3449736	0	0	1.024315	1.0635266	1.6781198	0	4.5614233	1.0044721	3.427112	4.5350194	1.156265	0	1.3799069	0.96007633	0.9895539	4.4223413	1.4299793	0.043025732	2.5480425	0.24900568	6.129347	4.4329243	4.2080474	3.308564	2.3140235	2.4137979	0.18274125	0.4290402	2.5481057	0.5267283	0.7999253	1.1459494	1.2208927	3.0128431	2.0066152	0	1.9104743	0	0.90688515	0	6.7320585	1.1910014	2.2558413	9.903639	1.623158	0.26941204	3.7178361	0.4769807	1.6161629	0.0680933	1.1692204	0	2.4216118	5.0513835	0.3324523	1.0846922	1.5810248	3.5536416	7.4927073	0.7635951	1.664908	1.1930635	0	3.8231812	2.8065455	21
8	4.448685	2.0508137	0	0	0	0	0.6422447	0	0	0	0	0	0.29291153	3.1444793	3.4938107	7.4024367	0	0	1.8684766	1.6257538	6.472794	1.5514255	2.322364	1.5553527	1.2078044	4.3012624	0.8014644	0.6675342	4.558185	0	3.7602036	3.5572324	1.6777918	0	0.09130216	0	1.707291	2.294857	7.5864697	1.0838573	7.824998	0	2.1602416	0	0	0.24060392	0	0.40479195	0	2.8037977	5.3503757	0	0.1354475	0.74726415	0	1.2828593	0	0.3816088	0	0	0	0	7.190564	0	6.629221	0	1.171847	0.32912502	0.9779129	0	1.3492117	0.33758092	0.88792443	0.15410995	8.341011	0.3407545	0	0	0	3.619613	0.472044	0.4065225	1.6863911	0	0	3.5697973	0	0.22598147	1.5448283	0	6.4624915	5.489342	3.8050728	10.3566475	4.853716	0.8698125	0	1.1020769	0	0.12666225	0	2.9987297	0	0.08064079	6.749529	0	0.77899176	6.847884	4.6538363	0.32549095	0	6.341943	0	0	2.2236733	2.9253368	9.173016	5.355526	0	7.631549	0	0.88855696	1.8842154	0	2.6923435	4.6477194	1.0809711	1.5613532	0.16708231	3.0190816	0.8364123	0	2.353865	1.3902583	0.23260576	2.7566872	1.717742	0	3.927909	9.251253	0	0.06622702	6.34317	0	0.05332175	0.9989743	3.2477102	0.19812962	1.7502103	0	1.2943785	1.0678817	7.245965	3.573693	3.8079033	14.789082	0	0.5645952	0	1.2558005	0	0	0	0.39687014	0.48428202	0.28775632	1.7513819	4.6356773	9.159453	0	0	0	0	0.9888725	1.365352	1.0361261	0	0	0	3.6760988	8.082492	2.1680923	0.8078141	0	2.0170286	0.5648135	0.30208677	0.41853327	8.168681	0	0	0	0	0	0	2.2151856	6.6826134	0.09345697	3.9816408	1.4087796	3.705854	1.14658	0	0.5567131	1.5492201	0.31919777	4.924096	7.5282927	0.081312776	0	0	10.750324	5.8736734	0	0	2.6345658	3.826663	0	0.20014477	0	3.969954	1.1806161	0.40134615	0	1.099685	4.0693383	0	0.962432	0	1.9480326	1.2740493	11.486048	3.2477603	0.6120992	10.639917	2.6635828	0	2.8303113	0.77321184	2.4543052	1.4171152	2.2199392	3.6506286	6.205058	5.975885	0.3189776	2.0534718	0.21659148	3.1591246	1.1067711	0.1565209	1.4600908	1.4500558	1.469399	4.399974	2.8337288	21
9	2.379584	0	0.49918592	0.8064731	0	0	0	0.20848203	0	6.0492644	0	1.1272619	0.5995625	4.7171874	5.5920978	2.2584276	0	1.5529344	1.0988827	1.2332253	4.079332	2.684872	0.96985364	5.3717823	0	6.118207	0	2.03177	4.700625	0	0.96070457	0.87799716	0.7797518	0	0	0	0.21611905	0.95104706	9.739877	11.610661	0.6761699	5.1843767	0.8325677	0	0	2.5262775	0	0.59282637	0	3.2033362	3.4059415	3.7847385	7.321664	0	0	5.6995564	0	0.16027343	7.9453464	0	3.0211475	0	1.0992923	2.0787902	0.67826647	0	0	3.157851	1.3175218	0.6723697	3.8453465	1.4133421	0.70093894	5.764015	9.428585	0	0	4.135459	3.4989085	3.6983051	1.5877904	0.7556499	1.455821	0	0	3.019389	1.0676852	1.3567102	0	2.9804916	4.219679	0	1.0695404	8.700081	3.4313715	2.1457345	0	0	0	1.9624748	0	2.078403	0.14480484	0	1.4322736	0	0	7.266943	0.4440241	0	0	1.7032628	0	0	0.10402441	1.2573754	0.9426155	2.511742	0.17491698	4.2431693	3.457365	0	3.8095772	12.727123	0.8549812	7.186697	0.46907008	0	1.8260113	1.491334	0	10.9478245	8.916753	0	0	2.3238187	0	0	7.393838	0.11499727	3.6294868	0	0	0.04918903	0	2.5651588	3.081044	2.9712484	1.0308278	0	0	0.014516115	0	13.199904	4.0731235	2.8106616	0	0	10.072083	1.4236071	2.4573522	0.6206165	0.8214835	0.7106036	0	0	7.099855	0.68725395	5.393788	0	0	1.2880533	0.8021034	6.974847	0	0	0.12708735	0	0.12847042	1.1901478	8.234329	2.8408515	0	0	1.6261127	0	0	0	3.8558035	0.8266984	1.1832275	1.9995797	3.686255	0	12.159752	5.7639084	5.3591595	7.111871	0.78884315	5.1291003	0	0	0	2.7887344	0	0.47970045	0	5.734442	0	1.1917582	0.22281998	11.418022	1.2429178	8.607191	3.4988947	0.9641309	0	0.43195796	0.57023335	1.1948657	0	0	0.615672	1.103049	0.44109344	2.6692314	0	0.22503603	0.22682866	0.30266017	2.074105	4.0630026	0.31041926	0	0.5536418	5.201659	0	1.2130759	1.6316193	2.4337125	0	1.0532448	4.8222694	5.459877	2.4398916	0.2960986	0	0	3.5976858	6.1450644	1.4392608	0	1.4095318	0.8056226	0	0	18
10	0.9556818	2.8239784	3.7328734	0	0	0	0.14227521	1.023828	0	3.37996	0	5.783346	0.1280117	2.5535994	0	2.951041	1.9158993	2.9681385	1.1859303	0	1.3309064	0.5400837	4.3336573	0	1.2416832	4.1303325	0.8347456	0.2943124	3.1742563	0	3.1826065	0	1.3436587	0	0	0.23025927	0	1.5409888	11.805703	2.4283617	5.3937244	2.1592138	5.383362	0	0	2.371457	0.92819047	0.62300146	0	3.09437	10.097166	0	2.3176033	0	0	5.7549257	0	0.4053523	2.160084	0	0	0	2.2959757	1.8779681	8.256683	0.3529998	0	3.1779532	0	4.3312716	2.2576954	0	0	0	10.261554	0	0	0.055940747	0	5.473256	3.7539368	4.6404715	3.849336	0.6287573	0	0	0.60661054	0	0	7.5017595	4.3033566	9.071027	2.7387562	0.6357546	0	2.081199	6.047805	9.315209	0	0	0	8.199472	0	0.8337343	1.3131614	0	1.7139094	2.0328865	0	0.045202255	0.7539062	11.747751	0	0	0	0	7.5183463	2.4352021	0	0	5.8541865	0	2.781091	5.381225	0	4.925571	2.0236936	1.2658784	0	5.211959	0	0	0	7.123086	0	0	1.044085	0.51714706	10.147519	3.804102	0	0.23780864	1.0740385	0	11.764395	0.42508125	9.089273	0.043916315	4.9004755	0	0.68761253	0.29578912	7.700118	4.239257	5.5337524	0	0.48989797	3.116985	2.4444122	4.2820253	5.3709927	6.1741667	0.05872464	0	0.39003587	0	3.5836983	0.4039502	1.7545662	0.053845167	0.60303634	7.0565586	1.0517974	7.7449036	1.6488436	0	0	0	0	0.3874433	2.1688645	5.166301	0	0	0	0	1.1142198	0.83906704	3.148271	0	0	0.054009795	1.3754864	4.0876336	8.557146	0.42133778	8.269529	4.7063923	0	0	4.4685764	0	0	1.6313457	0	0.101163864	1.4781666	4.9647098	0.98233086	0	0	5.5689564	10.409441	10.114702	0.17039335	4.188979	0	0	0.17629313	2.708744	0	0.16481873	0	0	0	0	2.1062799	0	0	1.6816821	0	5.4383817	2.443211	0.003898621	7.747295	1.4662154	0	1.5053438	0	0	0.68093276	5.058325	7.905195	5.41621	11.159302	0	0.8876815	0.08076465	0	5.897749	2.9413939	1.0652034	0.034318477	0.17394018	7.6764193	2.0505743	6
